number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
23,Which of the following will not contribute to your account level storage usage?,Snowflake Internal Stage,UDF,Snowflake External Stages,Databases (and tables in it),Views (Normal Views & Not Materialized Views),,"2, 3, 5","Storage used by a database (and its tables) and storage used by Snowflake internal stages contribute towards the over all storage usage along with storage used for data protection (i.e. Time Travel & Fail Safe) Views, UDF‘s are logical object referring to the tables or performing some function, and hence no storage cost is associated with them. Likewise External Stages are logical object referring to an external Cloud location and hence no storage cost is applicable as data is stored in external cloud",,Test 2,2
24,"Snowflake encrypts all customer data by default, using the latest security standards, and charges customer for this encryption",TRUE,FALSE,,,,,2,"Snowflake encrypts all customer data by default, using the latest security standards, at no additional cost. Refer Link –https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation",https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation,Test 2,2
25,You want to get the clustering information for a table Tab1 that is clustered on column Col1. Which of the below queries will you run to get the details?,show clustering (‘Tab1‘) from clustering_info;,select system$clustering_information(‘Tab1‘);,Show clustering information for Tab1.Col1;,,,,2,Refer Link –https://docs.snowflake.com/en/sql-reference/functions/system_clustering_information.html#system-clustering-information,https://docs.snowflake.com/en/sql-reference/functions/system_clustering_information.html#system-clustering-information,Test 2,2
26,Cloud services also use compute. Does snowflake charge you for cloud services.,Cloud services are charged irrespective of the compute resource usage,Cloud services are charged only if it exceeds 20% of the daily usage of the compute resources,Snowflake never charges for cloud services,Cloud services are charged only if it exceeds 10% of the daily usage of the compute resources,,,4,"Similar to virtual warehouse usage, Snowflake credits are used to pay for the usage of the cloud services that exceeds 10% of the daily usage of the compute resources.Usage for cloud-services is charged only if the daily consumption of cloud services exceeds 10% of the daily usage of the compute resources. The charge is calculated daily (in the UTC time zone). This ensures that the 10% adjustment is accurately applied each day, at the credit price for that day. Refer Link –https://docs.snowflake.com/en/user-guide/credits.html#cloud-services-credit-usage",https://docs.snowflake.com/en/user-guide/credits.html#cloud-services-credit-usage,Test 2,2
27,To restore the table by undrop command what all conditions should be met?,The table can be restored in any schema irrespective from whichever schema the table was dropped.,The table can be restored in same schema only from which it has been dropped,User executing undrop command should have ownership privilege on the table,User must have CREATE privileges on the schema in which table is getting restored,,,"2, 3, 4","Similar to dropping an object, a user must have OWNERSHIP privileges for an object to restore it. In addition, the user must have CREATE privileges on the object type for the database or schema where the dropped object will be restored. Restoring tables and schemas is only supported in the current schema or current database, even if a fully-qualified object name is specified Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period",https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 2,2
28,"What ensures that all customer data, new and old, is encrypted with the latest security technology",Key Rotation,This has to be done by contacting snowflake support,Periodic Rekeying,None,,,3,"Rekeying constrains the total duration in which a key is used for recipient usage, following NIST recommendations. Furthermore, when rekeying data, Snowflake can increase encryption key sizes and utilize better encryption algorithms that may be standardized since the previous key generation was created. Rekeying therefore ensures that all customer data, new and old, is encrypted with the latest security technology. Refer Link –https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation",https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation,Test 2,2
29,select * from my_table at(offset => -60*5) . This statement will return which period of historical data for the table?,60 minutes ago,10 minutes ago,5 hours ago,5 minutes ago,,,4,"Here the 60 refers to seconds, and hence 60*5 = 300 seconds which is 5 minutes. Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period",https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 2,2
30,"What happens If the TIMESTAMP, OFFSET, or STATEMENT specified in the AT | BEFORE clause of a SELECT statement falls outside the data retention period for the table?",The query fetches data from fail safe,The query returns no data,The query returns the oldest timestamp data that is available,The query fails and returns an error,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 2,2
31,What are the resources that a virtual warehouse provides?,Temporary Storage,CPU (Processing Power),Memory,User & Role Management,Long term data storage,,"1, 2, 3","Virtual warehouse provide CPU, Memory & temporary storage to process queries",,Test 2,2
32,"Compute can be scaled up, down, out, or in and there is no effect on storage used.",TRUE,FALSE,,,,,1,"As per snowflake architecture, storage and compute are independent of each other and can be increased or decreased without any impact on each other.",,Test 2,2
33,Two Virtual Warehouses can access the same data at the same time without causing contention issues.,TRUE,FALSE,,,,,1,"Thats the beauty of snowflake, and one of the key features, where in separate warehouses can access the same data without causing any contention issues.",,Test 2,2
34,What attributes make Snowflake a true SaaS solution?,No hardware to purchase or configure.,No creation of user accounts or roles is required.,No maintenance upgrades or patches to install.,No data storage costs.,No query processing costs.,Transparent releases don‘t require user intervention.,"1, 3, 6",Refer link for snowflake architecture details that make it a true SaaS offering –https://docs.snowflake.com/en/user-guide/intro-key-concepts.html,https://docs.snowflake.com/en/user-guide/intro-key-concepts.html,Test 2,2
35,Which installment option versions of Snowflake are available?,Microsoft Cloud Native Accounts,Snowflake-Hosted Accounts (on Amazon cloud infrastructure),Hybrid On-Premise + Cloud Installation,Enterprise In-House VPC Installation,On-Premise Custom Installation,Snowflake-Hosted Accounts (on Azure cloud infrastructure),"2, 6",A Snowflake account can be hosted on any of the following cloud platforms:Amazon Web Services (AWS)Google Cloud Platform (GCP)Microsoft Azure (Azure)Refer link –https://docs.snowflake.com/en/user-guide/intro-cloud-platforms.html,https://docs.snowflake.com/en/user-guide/intro-cloud-platforms.html,Test 2,2
36,Which role is most powerful role in a Snowflake system?,SYSADMIN,SECURITYADMIN,PUBLIC,ACCOUNTADMIN,,,4,Accountadmin is the highest privileged role in Snowflake,,Test 2,2
